Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"102,7452227927122","77,62510617950258","0,9609085805116001","0,9891526889879525"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"74,55660453287342","58,07046707424188","0,7147877933732781","0,994312756837127"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"95,59094564911946","64,81358563124076","0,7869143713945497","0,9906363661655017"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"101,32418756857808","80,0684937245746","0,9631395288855337","0,98943111140893"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"103,74510585050997","79,11632939626479","0,980706080515152","0,9889405366895849"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"98,93659165642966","81,95325646033655","0,9956549645535877","0,9899851731514397"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"89,26515885146296","60,8624144785503","0,7429036236370476","0,9918346487671783"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"135,89046384461116","115,86560853134213","1,3719441544527073","0,9809900479399044"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"108,87463920864828","85,77193292922522","1,0697582692014207","0,9878198601835245"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"69,42049263006516","53,01165735368898","0,6533174848451897","0,9950693413472911"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"92,8642547408975","69,63041154308434","0,8662243833409106","0,9911629347468777"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"112,37015902871514","92,49269672822706","1,165718014615098","0,9870011464600503"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"115,20948972678539","86,68304840629625","1,054094836982523","0,9863612263416026"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"88,41616013652886","72,11698669794748","0,886235069212647","0,9920017890425764"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"89,12326455714927","66,78193619406436","0,8201789339082289","0,9918605871267288"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"87,78451214175118","70,74262521958191","0,8610101975665684","0,9920669743343156"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"129,95376953639567","106,98852972448225","1,3224109944952323","0,9826469196016582"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"102,20053030220895","84,66060480422522","1,0157668652451644","0,9893134910539009"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"102,51156109881826","82,16475519485024","0,9973658423129526","0,9892314655741153"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"93,32510726369095","72,62520730283866","0,9021184136837868","0,991033972737651"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"225,32550297268372","183,71868715906993","2,13197749446758","0,9478301588596338"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"191,7902430028916","153,85562332424186","1,7818146305410503","0,9623658099347058"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"230,86092168776582","187,7853202142659","2,153397873682784","0,9453850227944577"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"204,87708830935324","165,84339173446728","1,92648185041643","0,956789444820824"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"159,50508792028577","130,09930383806397","1,553311196495058","0,9738574529955565"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"130,5400272476432","109,56896611501479","1,3124034052487248","0,982565200670914"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"144,67046474675706","114,6139421632304","1,3506808387877278","0,9785527971427236"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"157,0098845220187","138,38425278522521","1,6599704851716794","0,9746220201681759"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"307,1741771808451","248,67752779447116","2,8478847512581122","0,9030454437110238"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"281,78347166143135","223,99955650194156","2,555424238278045","0,9187617450287021"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"307,15252376036807","248,3561383309449","2,8190294392600843","0,9033239088408179"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"289,0431252186378","230,83274778106482","2,6477682428735503","0,9139940795408754"
