Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"70,87722864259098","52,37366228272929","1,2527875638882648","0,9931308677146365"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"38,962392218741094","26,455287233612253","0,5917033145720157","0,9979384569454489"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"63,255418950123435","42,51691360022188","0,9745655341804169","0,9946026793233098"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"67,93635886715944","55,43950224204882","1,2935076386054205","0,993626719218644"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"70,98661819602437","52,256821491309175","1,2495090184139797","0,9931096481726436"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"37,42318863074621","27,358273477949336","0,6424860707507563","0,9980981215442314"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"67,88137890802015","56,60879029042622","1,3320713140818725","0,9937843856507752"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"64,46390108059649","46,61394288553995","1,0937377255523535","0,9942615885258932"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"70,90437928719865","51,786359978850776","1,2355501724885551","0,9931256040469066"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"33,46265253009973","21,805535852556396","0,5122952646673331","0,9984793757603315"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"57,2237582115793","41,89819877669656","0,9993518225534636","0,9955829175790647"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"50,737806776010316","36,99719057703866","0,8834019581750957","0,9964451449302856"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"84,47435291397034","64,83834134615384","1,5154319317881113","0,9902425087255455"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"57,20737447906816","48,23059154262205","1,1073376108470154","0,9955556810974117"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"62,95400421095035","42,046740650425285","0,973454541246482","0,9946539936950862"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"73,1452597089124","61,91993848811944","1,4524128612470468","0,992611931873738"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"80,47540853894183","62,12807342709874","1,470416170392011","0,9911444649898266"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"69,97410506713317","62,10042739055564","1,4441178102429806","0,99335070062227"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"98,58143505403774","88,36701884072208","2,068641852585814","0,9868908956387041"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"53,39358822680102","37,21139219385633","0,8892029043291083","0,9960632599842866"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"98,26253107980968","78,84950825166422","1,8230553890770318","0,9867972525023385"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"78,91353531517657","67,389172796667","1,5174920378267998","0,9915432365695942"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"87,08472377054179","65,19432365823779","1,4734272070758705","0,9897702102870908"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"94,08122844108613","81,2150839179225","1,8747016021970881","0,9877773752696938"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"73,09658390555983","53,135825253097266","1,2767106607957923","0,9926939509018575"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"48,410840949136464","37,221249913322865","0,899071511243364","0,9968173679256439"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"62,17030117013468","45,77066997099205","1,0561895963746726","0,9947862681438887"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"56,44936066181628","42,76427572577662","1,0458328785141175","0,9955997578785094"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"84,32942576215625","66,99846473106972","1,624533595575365","0,9902759605913255"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"63,93992751228945","53,583861582377935","1,3007387823627659","0,9944480510943643"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"77,60099058211478","65,16140765128051","1,5511121588890155","0,9918769845501217"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"70,92224733526109","53,761140541212114","1,3184978826502982","0,9930541804466836"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"140,8338975334399","121,78527543107434","2,788809877204357","0,9728791797066422"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"153,82463367270216","139,9447686009153","3,128888505891757","0,9678668752183756"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"148,0474287599116","132,1573056553948","2,968903733779965","0,9704345504269284"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"154,49264878234686","136,55069385054549","3,0953893296162174","0,9670409900566889"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"75,16354119881323","55,02498215895433","1,3308920660215708","0,9922749216997921"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"53,00373647014077","36,59753417968749","0,8522627946754883","0,9961848277234433"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"70,04906623244405","50,21427457008136","1,1785687493805728","0,9933810751543615"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"59,17382809345619","42,00207555646727","1,0027861143373733","0,9951647620600081"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"76,0777125504112","54,35744065504808","1,2848446404490672","0,9920858675127423"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"72,61092138972386","54,06511909439721","1,192274698318408","0,9928401309896897"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"75,0296043027873","50,18264716334597","1,1269644540961343","0,9924063939744915"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"59,70541067168575","44,53108639688886","1,0508884203689621","0,9950774980283912"
