Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"76,2173905324044","58,35856529368528","1,2452822727732442","0,9874136335729188"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"94,20242625122228","82,5016215850823","1,737193696826122","0,9805737246417777"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"71,38174474810222","60,6341787494915","1,303086140380139","0,9890463001762567"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"66,31036326208871","50,7767037848094","1,110005876662062","0,9903256696589474"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"74,0276639629266","57,28438157569804","1,230817032639645","0,988126457539979"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"48,58703755378097","33,832120460012945","0,716050271752708","0,9948321939797171"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"67,77825368633475","48,30985057306306","0,9965435504915872","0,9901243141282745"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"89,1354097313644","74,359150357295","1,5478354791031763","0,9825193076738606"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"76,85361870795465","58,26603924613998","1,2339720756882986","0,9872026259895829"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"126,68496474593644","114,46144528423171","2,373586431164713","0,9648669775538443"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"78,64612961869337","66,42938015999445","1,3897674753463425","0,9867033809368477"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"59,28163814219598","44,09854613373695","0,9543990044723499","0,9922678816860784"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"98,66229325253374","80,44917721868066","1,7154346749013696","0,978909123367786"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"71,96662765447964","58,13128228554919","1,2061788517995518","0,9886622293431019"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"80,42097993338939","68,48376248333489","1,4351518186114904","0,9860964648643973"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"56,52636092352764","41,923113037352074","0,8992056391165568","0,9929699218483403"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"92,020597211882","71,19115199588573","1,4863905096366856","0,9816531160099627"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"52,16842832860891","37,80456615571838","0,7898196175366656","0,9940422692878459"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"60,41474928233513","42,50969773023761","0,889421641448607","0,9921535633561511"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"78,0301414224109","63,74593050462299","1,3412089954135433","0,9866037610124581"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"172,62799987291018","140,16840069226146","2,7876670333917244","0,9354323920621094"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"158,59258602365787","131,57513536832008","2,6142481649975986","0,9449406443042137"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"171,92921951734442","140,6040291873844","2,7600509300906872","0,936454339131247"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"166,48182072144115","139,73981579694464","2,8091758290646673","0,939019394492415"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"128,40262557280727","112,86216636670211","2,4668133450025396","0,9642776494154183"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"118,36830350172043","109,02952945929643","2,351483370496221","0,9693284156814933"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"109,1947350857691","98,97618184395803","2,1582466309768322","0,9743675620137112"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"106,76507860138383","93,57185355013377","2,06879057276412","0,9749206343783642"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"128,80416494780908","99,21071466926313","1,9762793592462944","0,964053878937841"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"106,83254228151391","79,67999195710058","1,5690486776726484","0,9750153948650372"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"127,5594554086288","96,35559912869822","1,8798826376117568","0,9650206423315963"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"113,07660104133882","87,27521510253352","1,7423752273532793","0,9718678068952401"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"94,9672490770141","72,70996996877311","1,4846039978941978","0,9804593081660473"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"58,794739588478365","43,48334534915865","0,9251953172678099","0,992432676406443"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"80,45222435654394","58,23825272115385","1,1705848676464925","0,9860856594173216"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"67,46098471382771","49,79324286554647","1,036157863285941","0,989987017640404"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"277,4237835885631","249,4861013190181","5,064808351251273","0,8332447173638364"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"248,76043274714942","227,84967691031804","4,648081610179026","0,8645347288433611"
