Model,Variable,RMSE,MAE,MAPE,R2 Score
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"94,98487545262208","66,99808443509616","1,3738431274858858","0,9928831496228229"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"77,41545817042275","53,51508651823684","1,0512001852071993","0,9952471542047714"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"114,65156451971534","81,29053673377406","1,5721458104880386","0,9897656469298469"
"{'start_unit': 32, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"100,58710551388796","79,23710677468564","1,615162559955689","0,9918919609184031"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"108,13945564055477","84,44236836630917","1,7511391164131491","0,9907754056259146"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"65,09088783788656","48,70999163565551","0,9876293976210208","0,996640004174731"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"70,52671791631515","47,92684918465698","0,9898469005558068","0,9961273542487523"
"{'start_unit': 64, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"81,17392212825456","60,75819785214035","1,3278453727084523","0,9947196310061364"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"78,05734201048125","57,02736686390533","1,230796280759015","0,9951937491091605"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"54,20983358329437","39,73663221731694","0,8329242049415666","0,9976694710871817"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"82,39769358702189","66,9563085793038","1,4038457261688833","0,9947139589014318"
"{'start_unit': 128, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"76,38732052567934","57,58727521727071","1,1871292036965406","0,9953240079529574"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"86,92791575378747","63,9577279175527","1,3447950537115454","0,9940392974014791"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"58,19144256071117","40,93979730549646","0,8372537094013792","0,9973145529478498"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"73,03452747299241","49,91509901419192","1,0166148349686392","0,9958470483773499"
"{'start_unit': 256, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"77,94140048992239","57,27310523761095","1,1693679018207936","0,9951318088618555"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Close,"78,73212370722013","57,94862356693787","1,246952096151827","0,9951102928153394"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Open,"49,89374006933757","35,02589407475037","0,7315646793085315","0,9980258030917012"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",High,"68,03368309523795","52,23142075397557","1,1178489921444439","0,9963963019896301"
"{'start_unit': 512, 'num_layers': 1, 'dropout_rate': 0, 'asc': False}",Low,"88,14991532427139","67,9706316163554","1,3801629364374044","0,9937730552828077"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"230,6418977698442","179,23466392381656","3,4077084632248256","0,9580380824644462"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"208,8209761695203","162,1062932663415","3,061608302172571","0,9654182799815522"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"213,46991782287435","160,61420797314165","2,970859649942268","0,9645208023081969"
"{'start_unit': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"225,0801535088893","177,51086245203865","3,4047105682721033","0,9594019086432193"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Close,"81,98674218013751","60,07320823895155","1,282973171419105","0,9946976770054363"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Open,"50,58278134668132","35,526869553786064","0,7415545462192413","0,9979708985618022"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",High,"67,28261412865706","50,097316403360765","1,0461257398601291","0,9964754300185532"
"{'start_unit': 256, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': True}",Low,"97,47222378702","78,2289360091531","1,582642100775559","0,9923863490952733"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"143,4340894212121","101,13714238454604","1,9393153014301272","0,9837713018863266"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"118,73715499244493","77,95698827258228","1,4313392600535233","0,9888192322919194"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"144,5746479008779","97,2681364702755","1,7887570612118568","0,9837263597494162"
"{'start_unit': 64, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"131,85528659187736","92,52450687927607","1,749268091269626","0,9860675881095445"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Close,"162,8296328081752","135,12880440435467","2,7483591960084213","0,9790855808643029"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Open,"86,79964792735935","65,63702898194806","1,3090681492182354","0,9940250500139941"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",High,"124,93492729365633","103,12389197716344","2,0735304411597553","0,9878474291597984"
"{'start_unit': 512, 'num_layers': 2, 'dropout_rate': 0.2, 'asc': False}",Low,"92,5061225322258","71,80783388036242","1,5185008580442094","0,9931423997335708"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"190,57301985214264","134,7445032243898","2,525518170490353","0,9713515089507218"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"181,38389370661156","126,78885158561388","2,330748752307027","0,9739086958099683"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"196,83439215154561","135,41099701830623","2,4519115042046664","0,9698350651705387"
"{'start_unit': 32, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"216,55824818252833","159,13960004276072","2,988566273467031","0,9624179323143894"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Close,"247,86286781555845","179,22623637724206","3,30920502730299","0,9515379411415149"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Open,"228,65768889249398","159,09118255073503","2,856378356437083","0,9585361173812358"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",High,"250,0459196349945","178,52706963352904","3,2130594374163253","0,951321188267315"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': True}",Low,"250,59855664926158","178,78388354058802","3,2826262417939076","0,9496744718050142"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"262,33396882007094","175,45388161924464","3,184802999353114","0,9457139828438947"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"243,85385759776383","154,7333760459042","2,7338778520222933","0,9528417579178717"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"263,81159275710064","172,09294931987333","3,0370705775526674","0,9458138647718255"
"{'start_unit': 128, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"258,8248626913846","171,7459073941383","3,108845360514877","0,9463162066738131"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Close,"171,00569554404092","113,18993165507119","2,180433850443626","0,9769325243490251"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Open,"151,76511128230095","94,53731703899318","1,7637800043015845","0,9817340511790962"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",High,"174,55533435769365","112,12169146114549","2,109630309354016","0,9762771602546967"
"{'start_unit': 512, 'num_layers': 3, 'dropout_rate': 0.2, 'asc': False}",Low,"164,8739954273743","106,25342338607156","1,9909547632535267","0,9782161049503862"
